name,Fix,SMILES
[D-Asp3]MC-ER,0,C[C@@H](\C=C(/C)\C=C\[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)C[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](C)NC(=O)C(=C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]1C)C(=O)O)C(=O)O)[C@H](Cc1ccccc1)OC
[D-Asp3]MC-EE,0,C[C@@H](\C=C(/C)\C=C\[C@@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)C[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](C)NC(=O)C(=C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]1C)C(=O)O)C(=O)O)[C@H](Cc1ccccc1)OC
"[D-Asp3,Mdha-GSH7]MC-RR",0,O=C(N(C1([H])CSC[C@@H](C(NCC(O)=O)=O)NC(CC[C@H](N)C(O)=O)=O)C)CC[C@H](C(O)=O)NC([C@@H](C)[C@H](/C=C/C(C)=C/[C@H](C)[C@@H](OC)CC2=CC=CC=C2)NC([C@H](CCCNC(N)=N)NC(C[C@H](C(O)=O)NC([C@@H](NC([C@@H](C)NC1=O)=O)CCCNC(N)=N)=O)=O)=O)=O
[D-Asp3]MC-RW,0,O=C(N(C)C(C(N[C@@H](C1=O)C)=O)=C)CC[C@H](C(O)=O)NC([C@@H](C)[C@H](/C=C/C(C)=C/[C@H](C)[C@@H](OC)CC2=CC=CC=C2)NC([C@H](CC3=CNC4=C3C=CC=C4)NC(C[C@H](C(O)=O)NC([C@@H](N1)CCCNC(N)=N)=O)=O)=O)=O
Autumnalamide,1,OC(C[C@@H](C(N[C@H]1CC2=CC=CC=C2)=O)NC([C@H](CC(C)C)NC(CNC([C@H]3CCCN3C([C@H](CC4=CC=CC=C4)NC([C@H](NC1=O)CCCNC(NC/C=C(C)/C)=N)=O)=O)=O)=O)=O)=O
Brunsvicamide A,0,CC[C@H]([C@H](C(O)=O)NC(N[C@@H]1C(N[C@H](C(N[C@H](C(N([C@H](C(N[C@H](C(NCCCC1)=O)CC2=CC=CC=C2)=O)CC3=CNC4=CC=CC=C43)C)=O)CC(C)C)=O)C(C)C)=O)=O)C
Brunsvicamide B,0,CC[C@H]([C@H](C(O)=O)NC(N[C@@H]1C(N[C@H](C(N[C@H](C(N([C@H](C(N[C@H](C(NCCCC1)=O)CC2=CC=CC=C2)=O)CC3=CNC4=CC=CC=C43)C)=O)CC(C)C)=O)[C@H](CC)C)=O)=O)C
Brunsvicamide C,0,CC[C@H]([C@H](C(O)=O)NC(N[C@@H]1C(N[C@H](C(N[C@H](C(N([C@@H](C(N[C@H](C(NCCCC1)=O)CC2=CC=CC=C2)=O)CC(C3=C(NC([H])=O)C=CC=C3)=O)C)=O)CC(C)C)=O)C(C)C)=O)=O)C
Hassallidin E,1,O=C(NC(C(O)C)C(NC(C(C)OC1=O)C(NC(C(C)O)C(NC(C(N/C(C(NC(C(NCC(N(C(C(NC1CCC(N)=O)=O)C(C)OC2C(O)C(O)C(O)C(CO)O2)C)=O)=O)CCC(N)=O)=O)=C\C)=O)CC3=CC=C(O)C=C3)=O)=O)=O)C(O)C(O)CCCCCCCCCCCCC
Aghardipeptin A,0,O=C(N1C(C(NC(C(NCC(NC(CC(C)C)C2=O)=O)=O)CC3=CNC4=CC=CC=C43)=O)CCC1)C(NC(CNC(C(N2)CC5=CN=CN5)=O)=O)CC6=CNC7=CC=CC=C76
"[D-Asp³,(E)-Dhb7]MC-HilR",0,O=C(N/C(C(N[C@@H](C1=O)C)=O)=C/C)CC[C@H](C(O)=O)NC([C@@H](C)[C@H](/C=C/C(C)=C/[C@H](C)[C@@H](OC)CC2=CC=CC=C2)NC([C@H](CCCNC(N)=N)NC(C[C@H](C(O)=O)NC([C@@H](N1)C[C@@H](C)CC)=O)=O)=O)=O
oscillacyclamide B,1,O=C(CNC1=O)N[C@@H](CCC(N)=O)C(N[C@@H](CC2=CC=CC=C2)C(NCC(N[C@@H](CO)C3=NC(C(N[C@@H](CC(N)=O)C4=NC(C(N[C@@H](CO)C(N[C@@H](C(C)C)C(N[C@@H](CO)C(N[C@@H](CO)C(NCC(N[C@@H](CC(O)=O)C(N[C@@H](CC5=CC=C(O)C=C5)C(N[C@@H](CC6=CNC7=C6C=CC=C7)C(N[C@@H](CO)C(N[C@@H]([C@@H](C)O)C(N[C@@H](CC8=CC=CC=C8)C(N[C@@H](CC(N)=O)C(N[C@@H](CC(C)C)C(NCC(N9[C@@H](CCC9)C(N[C@@H](CC(C)C)C%10=NC1=CS%10)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=CS4)=O)=CS3)=O)=O)=O
Aghardipeptin B,0,O=C(C(C)NC(C(CC1=CNC2=CC=CC=C12)N3)=O)N4C(C(NC(C(NC(C(C)C)C(NC(CC5=CNC6=CC=CC=C56)C(NC(CC(C)C)C(N7C(C3=O)CCC7)=O)=O)=O)=O)CC8=CNC9=CC=CC=C98)=O)CCC4
Oscillacyclamide A,1,O=C([C@@H](NC(C1=CSC([C@@H](C(C)C)NC([C@@H](C(C)C)NC(C2=CSC([C@H](NC(CNC([C@H](NC([C@@H]([C@H](C)OC/C=C(C)/C)NC([C@@H](CC(N)=O)NC([C@@H](CO)NC(C3=CSC([C@@H](NC([C@H](NC([C@@H](CCCCN)N4)=O)CC5=CC=C(O)C=C5)=O)C)=N3)=O)=O)=O)=O)CC6=CNC7=C6C=CC=C7)=O)=O)CC(O)=O)=N2)=O)=O)=N1)=O)CC8=CNC9=C8C=CC=C9)NCC(N[C@@H](C4=O)CC(O)=O)=O
Oscillaginin B,0,CCCCCCC[C@H]([C@@H](C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](C(C)C)C(=O)N[C@@H](CCC1=CC=C(C=C1)O)C(=O)O)O)N
Anabaenopeptin 908,0,CC[C@H](C)C1C(=O)NCCCC[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N(C(C(=O)N1)CCC2=CC=C(C=C2)O)C)CCC3=CC=C(C=C3)O)C(C)C)NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O
Anabaenopeptin 915,0,CC[C@H](C)[C@H]1C(=O)NCCCC[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N1)CCC2=CC=C(C=C2)O)C)CCC3=CC=C(C=C3)O)C(C)C)NC(=O)N[C@@H](CC4=CC=C(C=C4)O)C(=O)O
Oscillapeptin A,0,CC[C@H]([C@H]1C(O[C@@H](C)[C@H](NC([C@@H](NC(C(OC)COS(=O)(O)=O)=O)CCC2=CC=C(O)C=C2)=O)C(N[C@@H](CCC3=CC=C(O)C=C3)C(N[C@H]4CC[C@@H](O)N([C@H]([C@@H](CC)C)C(N(C)[C@@H](CC5=CC=C(OC)C=C5)C(N1)=O)=O)C4=O)=O)=O)=O)C
Oscillapeptin B,0,CC[C@@H]([C@H]1C(O[C@@H](C)[C@H](NC([C@H](NC([C@@H](OC)COS(=O)(O)=O)=O)CCC2=CC=C(O)C=C2)=O)C(N[C@@H](CCC3=CC(C)=C(O)C=C3)C(N[C@H]4CC[C@@H](O)[N@@]([C@H]([C@@H](CC)C)C(N(C)[C@@H](CC5=CC=C(OC)C=C5)C(N1)=O)=O)C4=O)=O)=O)=O)C
Oscillapeptin G,0,CC[C@@H]([C@H]1C(O[C@@H](C)[C@H](NC([C@@H](NC(C(NC([C@@H](O)CO)=O)CCC2=CC=C(O)C=C2)=O)CCC(N)=O)=O)C(N[C@@H](CC(C)C)C(N[C@H]3CC[C@@H](O)N([C@H]([C@@H](O)C)C(N(C)[C@@H](CC4=CC=C(O)C=C4)C(N1)=O)=O)C3=O)=O)=O)=O)C
Microviridin D,0,CC(N[C@H](C(NCC(N[C@@H](CC(N)=O)C(N[C@@H]([C@@H](C)OC(C[C@H](NC1=O)C(N[C@@H](CC2=CNC3=C2C=CC=C3)C(N[C@@H](CCC(OC)=O)C(N[C@@H]4C(N[C@@H](CC5=CC=C(O)C=C5)C(O)=O)=O)=O)=O)=O)=O)C(N[C@H](C(N[C@@H](CCCCNC(CC4)=O)C(N[C@@H](CC6=CC=C(O)C=C6)C(N7CCC[C@H]7C(N[C@H]1CO)=O)=O)=O)=O)CCSC)=O)=O)=O)=O)CC8=CC=C(O)C=C8)=O
Microviridin E,0,CC(N[C@H](C(N[C@H](C(N[C@@H]([C@@H](C)OC(C[C@H](NC1=O)C(N[C@@H](CC2=CC=CC=C2)C(N[C@@H](CCC(OC)=O)C(N[C@H](C(N[C@@H](CC3=CC=CC=C3)C(O)=O)=O)CC(NCCCC[C@@H](C(N[C@@H](CC4=CC=C(O)C=C4)C(N5CCC[C@H]5C(N[C@H]1CO)=O)=O)=O)NC6=O)=O)=O)=O)=O)=O)C(N[C@H]6CC7=CC=C(O)C=C7)=O)=O)CO)=O)CC8=CC=CC=C8)=O                                                                                      
Microviridin F,0,CC(N[C@H](C(N[C@H](C(N[C@@H]([C@@H](C)O)C(N[C@H](C(N[C@@H](CCCCNC(C[C@H](NC([C@@H](NC([C@@H](NC([C@@H](NC1=O)CC(O)=O)=O)CC2=CC=CC=C2)=O)CCC(OC)=O)=O)C(N[C@@H](CC3=CC=CC=C3)C(O)=O)=O)=O)C(N[C@@H](CC4=CC=C(O)C=C4)C(N5CCC[C@H]5C(N[C@H]1CO)=O)=O)=O)=O)CC6=CC=C(O)C=C6)=O)=O)CO)=O)CC7=CC=CC=C7)=O
Oscillaginin A,0,CC(C)[C@@H](C(=O)N[C@@H](CCC1=CC=C(C=C1)O)C(=O)O)N(C)C(=O)[C@H](CO)NC(=O)[C@H]([C@@H](CCCCCCCCl)N)O
Oscillaginin C,0,CC([C@H](N(C([C@@H](NC([C@@H](O)[C@H](N)CCCCCCC(Cl)Cl)=O)CO)=O)C)C(N[C@H](C(O)=O)CCC1=CC=C(O)C=C1)=O)C
Viridisamide A,0,C=CC(C)(C)NC(CC1=CC=CC=C1)C(NC(C2=NC(C(OC)=O)=CS2)C(C)CC)=O
Anabaenopeptin E,0,C[C@H]1C(N[C@@H](CC2=CC=CC=C2)C(NCCCC[C@@H](NC(N[C@@H](C(O)=O)CCC/N=C(N)\N)=O)C(N[C@@H](C(C)C)C(NC(CCC3=CC(C)=C(O)C=C3)C(N1C)=O)=O)=O)=O)=O
Anabaenopeptin F,0,C[C@H]1C(N[C@@H](CC2=CC=CC=C2)C(NCCCC[C@@H](NC(N[C@@H](C(O)=O)CCC/N=C(N)\N)=O)C(N[C@@H]([C@H](C)CC)C(NC(CCC3=CC=C(O)C=C3)C(N1C)=O)=O)=O)=O)=O
Cyanopeptolin 960,0,C[C@H](O1)[C@@H](C(N[C@H](C(N[C@@H]2C([N@]([C@@H](CC2)O)[C@H](C(N([C@@H](C(N[C@@H]([C@@H](CC)C)C1=O)=O)CC3=CC=CC=C3)C)=O)[C@H](C)CC)=O)=O)CCC(C=C4)=CC=C4O)=O)NC([C@@H](COS(O)(=O)=O)OC)=O
Cyanopeptolin 880,0,C[C@H](O1)[C@@H](C(N[C@H](C(N[C@@H]2C([N@]([C@@H](CC2)O)[C@H](C(N([C@@H](C(N[C@@H]([C@@H](CC)C)C1=O)=O)CC3=CC=CC=C3)C)=O)[C@H](C)CC)=O)=O)CCC(C=C4)=CC=C4O)=O)NC([C@@H](CO)OC)=O
Oscillamide Y,0,C[C@@H]([C@H]1C(NC(CCC2=CC=C(O)C=C2)C(N(C)C(C)C(N[C@@H](CC3=CC=CC=C3)C(NCCCC[C@@H](NC(N[C@H](C(O)=O)CC4=CC=C(O)C=C4)=O)C(N1)=O)=O)=O)=O)=O)CC
Nocuolin,1,CCCCCC1CC(CCCCC)=NN(C(CCO)=O)O1
Microviridin N9,1,O=C1C[C@@H](C(N[C@@H](CC(C)C)C(N[C@H](C(N[C@H](C(N[C@H](C(O)=O)CCCNC(N)=N)=O)CC(NCCCC2)=O)=O)CCC(OC3)=O)=O)=O)NC([C@H]3NC([C@H]4N(CCC4)C([C@H](CC5=CC=CC=C5)NC([C@H]2NC([C@H](CC6=CC=C(O)C=C6)NC([C@@H](NC([C@H](CC7=CNC8=C7C=CC=C8)NC([C@H]9N(C([C@H](C(C)C)NC([C@H](CCC(O)=O)NC([C@](NC(CNC([C@@H](NC([C@](NC([C@@H](N)C)=O)([H])[C@H](O)C)=O)CCC(O)=O)=O)=O)([H])[C@@H](C)O)=O)=O)=O)CCC9)=O)=O)[C@@H](C)O1)=O)=O)=O)=O)=O)=O
Microviridin N8,1,O=C1C[C@@H](C(N[C@@H](CC(C)C)C(N[C@H](C(N[C@H](C(N[C@H](C(O)=O)CCCNC(N)=N)=O)CC(NCCCC2)=O)=O)CCC(OC3)=O)=O)=O)NC([C@H]3NC([C@H]4N(CCC4)C([C@H](CC5=CC=CC=C5)NC([C@H]2NC([C@H](CC6=CC=C(O)C=C6)NC([C@@H](NC([C@H](CC7=CNC8=C7C=CC=C8)NC([C@H]9N(C([C@H](C(C)C)NC([C@H](CCC(O)=O)NC([C@](NC(CNC([C@@H](NC([C@](N)([H])[C@H](O)C)=O)CCC(O)=O)=O)=O)([H])[C@@H](C)O)=O)=O)=O)CCC9)=O)=O)[C@@H](C)O1)=O)=O)=O)=O)=O)=O
Microviridin N7,1,O=C1C[C@@H](C(N[C@@H](CC(C)C)C(N[C@H](C(N[C@H](C(N[C@H](C(O)=O)CCCNC(N)=N)=O)CC(NCCCC2)=O)=O)CCC(OC3)=O)=O)=O)NC([C@H]3NC([C@H]4N(CCC4)C([C@H](CC5=CC=CC=C5)NC([C@H]2NC([C@H](CC6=CC=C(O)C=C6)NC([C@@H](NC([C@H](CC7=CNC8=C7C=CC=C8)NC([C@H]9N(C([C@H](C(C)C)NC([C@H](CCC(O)=O)NC([C@](NC(CNC([C@@H](N)CCC(O)=O)=O)=O)([H])[C@@H](C)O)=O)=O)=O)CCC9)=O)=O)[C@@H](C)O1)=O)=O)=O)=O)=O)=O
Microviridin N6,1,O=C1C[C@@H](C(N[C@@H](CC(C)C)C(N[C@H](C(N[C@H](C(N[C@H](C(O)=O)CCCNC(N)=N)=O)CC(NCCCC2)=O)=O)CCC(OC3)=O)=O)=O)NC([C@H]3NC([C@H]4N(CCC4)C([C@H](CC5=CC=CC=C5)NC([C@H]2NC([C@H](CC6=CC=C(O)C=C6)NC([C@@H](NC([C@H](CC7=CNC8=C7C=CC=C8)NC([C@H]9N(C([C@H](C(C)C)NC([C@H](CCC(O)=O)NC([C@](NC(CN)=O)([H])[C@@H](C)O)=O)=O)=O)CCC9)=O)=O)[C@@H](C)O1)=O)=O)=O)=O)=O)=O
Microviridin N5,1,O=C1C[C@@H](C(N[C@@H](CC(C)C)C(N[C@H](C(N[C@H](C(N[C@H](C(O)=O)CCCNC(N)=N)=O)CC(NCCCC2)=O)=O)CCC(OC3)=O)=O)=O)NC([C@H]3NC([C@H]4N(CCC4)C([C@H](CC5=CC=CC=C5)NC([C@H]2NC([C@H](CC6=CC=C(O)C=C6)NC([C@@H](NC([C@H](CC7=CNC8=C7C=CC=C8)NC([C@H]9N(C([C@H](C(C)C)NC([C@H](CCC(O)=O)NC([C@](N)([H])[C@@H](C)O)=O)=O)=O)CCC9)=O)=O)[C@@H](C)O1)=O)=O)=O)=O)=O)=O
Microviridin N4,1,O=C1C[C@@H](C(N[C@@H](CC(C)C)C(N[C@H](C(N[C@H](C(N[C@H](C(O)=O)CCCNC(N)=N)=O)CC(NCCCC2)=O)=O)CCC(OC3)=O)=O)=O)NC([C@H]3NC([C@H]4N(CCC4)C([C@H](CC5=CC=CC=C5)NC([C@H]2NC([C@H](CC6=CC=C(O)C=C6)NC([C@@H](NC([C@H](CC7=CNC8=C7C=CC=C8)NC([C@H]9N(C([C@H](C(C)C)NC([C@H](CCC(O)=O)N)=O)=O)CCC9)=O)=O)[C@@H](C)O1)=O)=O)=O)=O)=O)=O
Microviridin N3,1,O=C1C[C@@H](C(N[C@@H](CC(C)C)C(N[C@H](C(N[C@H](C(N[C@H](C(O)=O)CCCNC(N)=N)=O)CC(NCCCC2)=O)=O)CCC(OC3)=O)=O)=O)NC([C@H]3NC([C@H]4N(CCC4)C([C@H](CC5=CC=CC=C5)NC([C@H]2NC([C@H](CC6=CC=C(O)C=C6)NC([C@@H](NC([C@H](CC7=CNC8=C7C=CC=C8)NC([C@H]9N(C([C@H](C(C)C)N)=O)CCC9)=O)=O)[C@@H](C)O1)=O)=O)=O)=O)=O)=O
Anabaenopeptin SA9,1,O=C(N[C@@H](CCC1=CC=CC=C1)C(NCCCC[C@@H](NC(N[C@H](C(O)=O)CC2=CC=CC=C2)=O)C(NC([C@@H](CC)C)C(N[C@H]3CCC4=CC=C(O)C(Cl)=C4)=O)=O)=O)CN(C)C3=O
Anabaenopeptin SA12,1,O=C(N[C@@H](CCC1=CC=C(O)C=C1)C(NCCCC[C@@H](NC(N[C@H](C(O)=O)CC2=CC=CC=C2)=O)C(N[C@@H](C(C)C)C(N[C@H]3CCC4=CC=C(O)C=C4)=O)=O)=O)CN(C)C3=O
